(60.13207656880653, 4.618617807517948, 836.7860917213175)
(42.982658055510136, -4.153446211628008, 834.0208837553228)
(25.514167704918155, -9.556730303428138, 832.8454660208236)
(7.931488394787299, -13.877891178393208, 834.7910768134752)
(-9.66327258389535, -17.93791233082942, 840.5126453946559)
(65.77896582651296, -63.002648317428275, 1140.6727364628132)
(59.37476650072816, -30.66997060323219, 1153.512608252614)
(47.59568876110134, -12.28047967237463, 1155.7884304342624)
(33.72271719145088, -1.629171474496779, 1148.1857207320882)
(18.96435435824518, 5.612638321800286, 1132.3670745714962)
