(60.13207656880653, 4.618617807517948, 836.7860917213175)
(42.982658055510136, -4.153446211628008, 834.0208837553228)
(25.514167704918155, -9.556730303428138, 832.8454660208236)
(7.931488394787299, -13.877891178393208, 834.7910768134752)
(-9.66327258389535, -17.93791233082942, 840.5126453946559)
(65.77896582651296, -63.002648317428275, 1140.6727364628132)
(59.37476650072816, -30.66997060323219, 1153.512608252614)
(47.59568876110134, -12.28047967237463, 1155.7884304342624)
(33.72271719145088, -1.629171474496779, 1148.1857207320882)
(18.96435435824518, 5.612638321800286, 1132.3670745714962)
(-34.015026000256164, 98.52309614200819, 662.2701701725309)
(-15.791668123291803, 94.14630735611345, 655.0968299246251)
(2.526567605461608, 90.29452109378607, 648.784450999804)
(20.86401824034815, 86.36174212091858, 644.3818962677979)
(39.138029181519194, 81.65718831196575, 641.6715266919255)
(55.016012688586635, -114.15145392111434, 678.3632994312329)
(72.23701984629028, -130.11118571094644, 684.30846117489)
(81.52144393519694, 148.6004722220634, 688.4026046149575)
(67.87762100482782, 94.46367414850666, 689.8550401572284)
(50.38379705992076, 82.57364500308749, 689.1646831552707)
(-79.64053556438809, 160.49524661089694, 1195.676315917517)
(-64.96121468959157, 136.4894382761078, 1159.69668113255)
(-49.07013318374715, 129.04612879687306, 1084.185259204707)
(-32.574391615106045, 124.60764624841683, 975.5535942211682)
(-15.434288317414119, 121.11636100287048, 843.4569558738222)
